id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4455860493419059,Inrbzels7,2234400720,不会炒股怎么办,#明年将制定个人信息保护法##假如世上没有隐私#肯定大的O你觉得自己的个人信息被泄露了吗?对你的影响大吗？,,,,"明年将制定个人信息保护法,假如世上没有隐私",0,0,1,2020-01-01 09:49,iPhone客户端,,,,,普通用户
4455814032612046,InpYDaXvM,6187693014,王铁蛋真会玩儿,#明年将制定个人信息保护法##假如世上没有隐私#挺大的莫名其妙一天四十多条短信和各种骚扰电话O你觉得自己的个人信息被泄露了吗?对你的影响大吗？,,,,"明年将制定个人信息保护法,假如世上没有隐私",0,3,1,2020-01-01 06:45,iPhone客户端,,,,,普通用户
4466918721355066,Is4Rq5GvU,2674946030,李天喜微博,#明年将制定个人信息保护法##假如世上没有隐私#有影响O你觉得自己的个人信息被泄露了吗?对你的影响大吗？,,,,"明年将制定个人信息保护法,假如世上没有隐私",0,0,0,2020-01-31 22:11,iPhone XR,,,,,黄V
4466892988749204,Is4bUAI4c,1867940992,曾杰律师金融犯罪辩护,有朋友问，网贷平台获取用户的通讯录，并提供给第三方催收平台，是否会触犯侵犯公民个人信息罪？其实这是两个问题，首先，平台获取用户通讯录，是否合规合法？其次，平台获得通讯录后，提供给催收公司的行为，是否合法？第一个问题，根据目前刑法和司法解释关于侵犯公民个人信息罪的规定，所谓侵犯公民个人信息，是指“违反国家有关规定，通过购买、收受、交换等方式获取公民个人信息，或者在履行职责、提供服务过程中收集公民个人信息的”。这里的的违反国家有关规定，并不是指所有的获取公民个人信息的行为，而是指违反《消费者权益保护法》第29条与《网络安全法》第41条、第44条等规定，即“在收集、使用个人信息时，应当遵循合法、正当、必要的原则，公开收集、使用规则，明示收集、使用信息的目的、方式和范围，并经被收集者同意。”也就是说，如果搜集者获取他人通讯录的行为，是在双方明确同意，比如签订了明确的用户信息使用协议，协议中也明确了使用目的，用途，范围等等，而且具有搜集的必要性，比如带社交属性的APP读取通讯录进行相关好友推荐，带地图、导航、快递下单功能APP获取用户定位信息等等，就是合法、正当、必要的。而如果是放贷类平台，获取客户的通讯录，是为了核实用户的真实性，从而确定是否出借或者借贷的金额，并且承诺不做其他使用，当然辅助的方法还有查询支付宝花呗积分，微信支付记录等等，这些都属于当前放贷平台，确定用户信用度的一些“土办法”，在业务实践中具有一定的合理性，可以说是符合正当合理的原则。但是如果把这一些通讯录用作今后催收的原始资料，即在用户不还款时，通过拨打通讯录内的联系人电话进行催收，就并不是一种正当合理的获取方法，因为拨打通讯录，进行相关客户的催收是一种明确禁止的骚扰行为。当然这种行为合法合理的前提不仅仅是目的合理，还有手段合理合法，即必须经过用户的同意，如果是没有经过用户图同意自动读取，甚至盗窃相关用户的通讯录或个人信息，只没有经过用户图同意自动读取，甚至盗窃相关用户的通讯录或个人信息，只属于一种非法获取手段，则属于一种非法获取手段。#刑法##普法课堂##必知法律常识#更多研究，请关注曾杰律师《套路贷案件辩护研究专栏》,,,,"刑法,普法课堂,必知法律常识",1,0,7,2020-01-31 20:29,微博 weibo.com,,,,,黄V
4466869757316388,Is3AruHkg,1562479250,包头新闻网,【市政府新闻办举行包头市第四次新型冠状病毒感染的肺炎疫情防控工作新闻发布会】1月31日下午，市政府新闻办举行包头市第四次新型冠状病毒感染的肺炎疫情防控工作新闻发布会，市卫健委副主任刘宏泽通报了最新的我市新型冠状病毒感染的肺炎疫情防控工作情况，市市场监督管理局副局长马为民通报了疫情发生以来我市的市场监管相关工作情况，市第六医院副院长、精神科主任医师王东明回答了记者提问。一、我市新型冠状病毒感染的肺炎疫情防控工作情况根据自治区卫生健康委2020年1月31日发布的全区新型冠状病毒感染的肺炎疫情情况，截至1月31日10时，我市确诊病例仍为3例，新增重症病例1例。1、确诊病例基本信息及救治情况已确诊的３例病例中，１例病情平稳，２例病情加重，新增重症病例为昆区重症病例马某的弟弟。目前正组织自治区专家和市级医疗救治专家组开展积极地救治工作。2、我市对新型冠状病毒感染的肺炎的疫情心理危机干预工作的开展情况。为了有序、科学、规范的开展我市疫情发生后的紧急心理危机干预和心理疏导工作，按照国家卫生健康委按照《新型冠状病毒感染的肺炎疫情紧急心理危机干预指导原则》和“自治区心理危机干预预案”的要求，我市制定了《包头市新型冠状病毒感染的肺炎疫情心理危机干预工作方案》，根据所掌握的信息，识别高危人群，并提供建议的解决方案，最大限度的减轻疫情所致的心理伤害，促进社会和谐稳定，以保障人民群众心理健康。包头市新型冠状病毒感染的肺炎疫情心理危机干预体系由包头市卫生健康委员会牵头组建，由市第六医院、包钢三医院、国药北方医院等3家医院和包头市陈欣心理咨询学校、包头市心理健康服务协会的精神科医生和心理咨询师组成。在包头市新型冠状病毒感染的肺炎疫情防控工作指挥部统一领导下组织开展心理危机干预工作。专家工作组以热线、电话服务为主要形式，必要时由心理危机干预管理工作组委派专家提供面诊咨询危机干预。为此，我们开通了包头市心理危机干预援助热线，向社会公布心理专家的手机号码，应对心理危机干预的普及知识也会及时通过媒体推出。二、疫情发生以来我市的市场监管相关工作情况新型冠状病毒感染的肺炎疫情防控工作开展以来，市市场监督管理局迅速实施Ⅰ级响应措施，认真履行市场监管职责，全力做好疫情防控各项工作。主要措施1、成立市场监督管理局突发公共卫生事件应急指挥领导小组，设食品生产、食品流通、餐饮服务、药品和器械、价格、网络食品药品、市场规范等多个检查组和投诉举报受理组，全面排查全市各食品生产企业、农贸市场、超市、餐饮单位、药品及医疗器械经营单位，严禁企业采购、储存、销售、加工野生动物及其制品，严查哄抬物价等违法行为。截至1月31日上午9点，累计检查经营场所523家次（其中：集贸市场174家次、商场超市269家次、花鸟鱼虫市场3家次、监测电商平台77家次）、累计检查经营户1428家次（其中：市场内经营户707家次、餐饮店700家次、宠物店21家次）。2、市市场监督管理局和市发改委联合发布了《关于严厉打击疫情防控期间哄抬药品、医疗器械、防护品等价格违法行为的公告》。截至目前，检查药店、超市等经营场所313家，当场责令改正4家，下发责令改正通知书7份，查处未明码标价3家，即时处罚乱涨价4家，立案8件。3、发布通告，取消农村大篷车聚餐、关闭全市所有烧烤店、宠物店，严禁农贸市场等场所从事活禽活畜现场交易、现场宰杀等。疫情防控期间，各餐饮服务经营单位不得接待大型聚餐活动（10桌或100人以上），尽量不予提供群体聚餐服务。如有需要退订订餐活动的，各经营单位必须无条件给予退订、退款，否则，市场监管部门将依据《消费者权益保护法》等法律法规给予处罚。4、市市场监督管理局和市个体私营企业协会联合发布《倡议书》，号召鼓励大中型超市、农贸市场、快餐店、便利店、药店等继续营业，同时要严格落实卫生整治和消杀等各项防控措施。大中型超市、农贸市场、药店等如需停业，需向属地市场监督管理部门申请，经批准后才可停业。5、发布《关于全市医疗器械经营企业简化流程申办第二类医疗器械的通告》，允许销售符合质量标准的进口或无中文标识口罩，开辟了医疗器械经销备案立即办理的绿色通道，满足我市人民群众需求。6、新型冠状病毒肺炎疫情防控期间，包头市市场监督管理局12315投诉举报平台24小时不间断值守，保证投诉举报渠道畅通，及时处理消费投诉、举报和咨询。截止目前，共接听热线1196件，其中咨询554件、投诉493件、举报149件，已经办结反馈354件，办结率55.14%。7、网络平台监管方面，累计提醒告知辖区内平台（包括第三方平台、订餐平台、自营平台）69家（次），检查各类网店375家（次），屏蔽（下架）涉及野生动物、活禽、活畜交易信息10条，其中：涉及敕勒川平台销售野鸡、石鸡、大雁、鸳鸯等交易信息6条；内蒙古农商新创贸易有限责任公司自营平台“农势力生鲜供”销售现杀猪、鸡、兔、羊等信息4条，以上两个平台已关闭。发布会上，马为民和王东明分别回答了记者提问。问：疫情以来，我市物价有无受到疫情影响上涨，市场监督管理过程中有无发现故意提高价格的商品药品，部分药店高价卖口罩有无处罚案例？马为民：整体来看，全市粮油蔬菜及肉蛋货源充足，粮油肉蛋价格基本稳定，蔬菜价格有不同程度上涨属于春节期间的正常合理、合法幅度，对于这种，我们是可以理解的，也允许其正常合理的经营。但也存在个别个体户或药品零售企业存在借机哄抬价格、牟取暴利行为，对于这种我们坚决严厉打击，发现一起查处一起，而且按照情况从重处罚，目前对于粮油蔬菜及肉蛋类我们还未发现抬高价格行为，对于老百姓普遍反映的口罩有发现的案例，截至目前，查处未明码标价3家，即时处罚4家，正在调查涉嫌销售口罩案件1件，其他案件8件，同时，希望群众积极举报，与我们共同一起维护市场稳定。我们的举报电话是12315，老百姓还可以关注12315微信公众号举报。问：目前我市参与心理干预的医务人员有多少？王东明：我们根据工作需要开展心理危机干预，专家工作组以热线、电话服务为主要形式，必要时由心理危机干预管理工作组委派专家提供面诊咨询危机干预。专家工作组分四个组。第一组负责第一级人群，即新型冠状病毒感染的肺炎确诊患者（住院治疗的重症及以上患者）、住院隔离的疑似患者、疫情防控一线医护人员、疾控人员和管理人员等；第二组负责第二级人群，即居家隔离的轻症患者（密切接触者、疑似患者），到医院就诊的发热患者等；第三组负责第三级人群，即与确诊患者、隔离人群有关的人，如家属、同事、朋友，参加疫情应对的后方救援者等；第四组负责第四级人群，即受疫情防控措施影响的疫区相关人群、易感人群、普通公众等。以上四个组共有医护人员49个人。问：公众如何科学的应对疫情带来的心理恐慌？王东明：一是通过政府、权威机构发布的信息，了解本次疫情、防控知识等相关信息。减少对疫情信息的过度关注，减少不科学信息对自己的误导，不信谣、不传谣。二是维持规律作息，合理安排生活，追求内心充实。保持正常作息，吃好三餐，多喝水，选择合适的身体锻炼方式，增强免疫力。安排好生活内容，有计划地做一些让自己感到愉悦的事情。三是科学调适心理，摆脱负面情绪，保持平和心态，首先，认识到自己出现负面情绪是正常的，要接纳自己的情绪反应，不自责，也不指责和抱怨他人；其次，通过科学渠道学习深呼吸放松技术、冥想（正念）技术等，帮助自己缓解负性情绪；再次，多与家人或朋友交流，舒缓不良情绪，也要帮助家人或朋友处理不良情绪，做到自助与助人。如果自己或者家人的负性情绪持续时间比较长，影响到正常生活，自己无法解决，应及时寻求精神卫生、心理健康专业人员的帮助。包头市心理危机干预援助热线1.市第六医院：2625521（8：30-17:30），13451322429、13224724161（24小时）2.包钢三医院：15034711139（24小时）3.国药北方医院：52318775231721（24小时）4.包头市心理健康服务协会：上午8：00－12:00，下午14：00－18：00王永杰13191487916刘雪宁13754123352郝红英15947220170雎密太15547255798梁建宇13847200742张晓军13337192959赵慧坤180472818815.包头市陈欣心理学校：上午8：00－12:00，下午14：00－18：00陈欣18686171849张培芳18686122885王水清15949426677,,,,,5,3,8,2020-01-31 18:56,微博 weibo.com,https://wx3.sinaimg.cn/large/5d218a92ly1gbfy1p2o31j20b405o3yi.jpg,,,,普通用户
4466866489318957,Is3vaD6hL,2309504171,包头日报,#包头新闻##众志成城抗击疫情#【市政府新闻办举行包头市第四次新型冠状病毒感染的肺炎疫情防控工作新闻发布会】1月31日下午，市政府新闻办举行包头市第四次新型冠状病毒感染的肺炎疫情防控工作新闻发布会，市卫健委副主任刘宏泽通报了最新的我市新型冠状病毒感染的肺炎疫情防控工作情况，市市场监督管理局副局长马为民通报了疫情发生以来我市的市场监管相关工作情况，市第六医院副院长、精神科主任医师王东明回答了记者提问。一、我市新型冠状病毒感染的肺炎疫情防控工作情况根据自治区卫生健康委2020年1月31日发布的全区新型冠状病毒感染的肺炎疫情情况，截至1月31日10时，我市确诊病例仍为3例，新增重症病例1例。1、确诊病例基本信息及救治情况已确诊的３例病例中，１例病情平稳，２例病情加重，新增重症病例为昆区重症病例马某的弟弟。目前正组织自治区专家和市级医疗救治专家组开展积极地救治工作。2、我市对新型冠状病毒感染的肺炎的疫情心理危机干预工作的开展情况。为了有序、科学、规范的开展我市疫情发生后的紧急心理危机干预和心理疏导工作，按照国家卫生健康委按照《新型冠状病毒感染的肺炎疫情紧急心理危机干预指导原则》和“自治区心理危机干预预案”的要求，我市制定了《包头市新型冠状病毒感染的肺炎疫情心理危机干预工作方案》，根据所掌握的信息，识别高危人群，并提供建议的解决方案，最大限度的减轻疫情所致的心理伤害，促进社会和谐稳定，以保障人民群众心理健康。包头市新型冠状病毒感染的肺炎疫情心理危机干预体系由包头市卫生健康委员会牵头组建，由市第六医院、包钢三医院、国药北方医院等3家医院和包头市陈欣心理咨询学校、包头市心理健康服务协会的精神科医生和心理咨询师组成。在包头市新型冠状病毒感染的肺炎疫情防控工作指挥部统一领导下组织开展心理危机干预工作。专家工作组以热线、电话服务为主要形式，必要时由心理危机干预管理工作组委派专家提供面诊咨询危机干预。为此，我们开通了包头市心理危机干预援助热线，向社会公布心理专家的手机号码，应对心理危机干预的普及知识也会及时通过媒体推出。二、疫情发生以来我市的市场监管相关工作情况新型冠状病毒感染的肺炎疫情防控工作开展以来，市市场监督管理局迅速实施Ⅰ级响应措施，认真履行市场监管职责，全力做好疫情防控各项工作。主要措施1、成立市场监督管理局突发公共卫生事件应急指挥领导小组，设食品生产、食品流通、餐饮服务、药品和器械、价格、网络食品药品、市场规范等多个检查组和投诉举报受理组，全面排查全市各食品生产企业、农贸市场、超市、餐饮单位、药品及医疗器械经营单位，严禁企业采购、储存、销售、加工野生动物及其制品，严查哄抬物价等违法行为。截至1月31日上午9点，累计检查经营场所523家次（其中：集贸市场174家次、商场超市269家次、花鸟鱼虫市场3家次、监测电商平台77家次）、累计检查经营户1428家次（其中：市场内经营户707家次、餐饮店700家次、宠物店21家次）。2、市市场监督管理局和市发改委联合发布了《关于严厉打击疫情防控期间哄抬药品、医疗器械、防护品等价格违法行为的公告》。截至目前，检查药店、超市等经营场所313家，当场责令改正4家，下发责令改正通知书7份，查处未明码标价3家，即时处罚乱涨价4家，立案8件。3、发布通告，取消农村大篷车聚餐、关闭全市所有烧烤店、宠物店，严禁农贸市场等场所从事活禽活畜现场交易、现场宰杀等。疫情防控期间，各餐饮服务经营单位不得接待大型聚餐活动（10桌或100人以上），尽量不予提供群体聚餐服务。如有需要退订订餐活动的，各经营单位必须无条件给予退订、退款，否则，市场监管部门将依据《消费者权益保护法》等法律法规给予处罚。4、市市场监督管理局和市个体私营企业协会联合发布《倡议书》，号召鼓励大中型超市、农贸市场、快餐店、便利店、药店等继续营业，同时要严格落实卫生整治和消杀等各项防控措施。大中型超市、农贸市场、药店等如需停业，需向属地市场监督管理部门申请，经批准后才可停业。5、发布《关于全市医疗器械经营企业简化流程申办第二类医疗器械的通告》，允许销售符合质量标准的进口或无中文标识口罩，开辟了医疗器械经销备案立即办理的绿色通道，满足我市人民群众需求。6、新型冠状病毒肺炎疫情防控期间，包头市市场监督管理局12315投诉举报平台24小时不间断值守，保证投诉举报渠道畅通，及时处理消费投诉、举报和咨询。截止目前，共接听热线1196件，其中咨询554件、投诉493件、举报149件，已经办结反馈354件，办结率55.14%。7、网络平台监管方面，累计提醒告知辖区内平台（包括第三方平台、订餐平台、自营平台）69家（次），检查各类网店375家（次），屏蔽（下架）涉及野生动物、活禽、活畜交易信息10条，其中：涉及敕勒川平台销售野鸡、石鸡、大雁、鸳鸯等交易信息6条；内蒙古农商新创贸易有限责任公司自营平台“农势力生鲜供”销售现杀猪、鸡、兔、羊等信息4条，以上两个平台已关闭。发布会上，马为民和王东明分别回答了记者提问。问：疫情以来，我市物价有无受到疫情影响上涨，市场监督管理过程中有无发现故意提高价格的商品药品，部分药店高价卖口罩有无处罚案例？马为民：整体来看，全市粮油蔬菜及肉蛋货源充足，粮油肉蛋价格基本稳定，蔬菜价格有不同程度上涨属于春节期间的正常合理、合法幅度，对于这种，我们是可以理解的，也允许其正常合理的经营。但也存在个别个体户或药品零售企业存在借机哄抬价格、牟取暴利行为，对于这种我们坚决严厉打击，发现一起查处一起，而且按照情况从重处罚，目前对于粮油蔬菜及肉蛋类我们还未发现抬高价格行为，对于老百姓普遍反映的口罩有发现的案例，截至目前，查处未明码标价3家，即时处罚4家，正在调查涉嫌销售口罩案件1件，其他案件8件，同时，希望群众积极举报，与我们共同一起维护市场稳定。我们的举报电话是12315，老百姓还可以关注12315微信公众号举报。问：目前我市参与心理干预的医务人员有多少？王东明：我们根据工作需要开展心理危机干预，专家工作组以热线、电话服务为主要形式，必要时由心理危机干预管理工作组委派专家提供面诊咨询危机干预。专家工作组分四个组。第一组负责第一级人群，即新型冠状病毒感染的肺炎确诊患者（住院治疗的重症及以上患者）、住院隔离的疑似患者、疫情防控一线医护人员、疾控人员和管理人员等；第二组负责第二级人群，即居家隔离的轻症患者（密切接触者、疑似患者），到医院就诊的发热患者等；第三组负责第三级人群，即与确诊患者、隔离人群有关的人，如家属、同事、朋友，参加疫情应对的后方救援者等；第四组负责第四级人群，即受疫情防控措施影响的疫区相关人群、易感人群、普通公众等。以上四个组共有医护人员49个人。问：公众如何科学的应对疫情带来的心理恐慌？王东明：一是通过政府、权威机构发布的信息，了解本次疫情、防控知识等相关信息。减少对疫情信息的过度关注，减少不科学信息对自己的误导，不信谣、不传谣。二是维持规律作息，合理安排生活，追求内心充实。保持正常作息，吃好三餐，多喝水，选择合适的身体锻炼方式，增强免疫力。安排好生活内容，有计划地做一些让自己感到愉悦的事情。三是科学调适心理，摆脱负面情绪，保持平和心态，首先，认识到自己出现负面情绪是正常的，要接纳自己的情绪反应，不自责，也不指责和抱怨他人；其次，通过科学渠道学习深呼吸放松技术、冥想（正念）技术等，帮助自己缓解负性情绪；再次，多与家人或朋友交流，舒缓不良情绪，也要帮助家人或朋友处理不良情绪，做到自助与助人。如果自己或者家人的负性情绪持续时间比较长，影响到正常生活，自己无法解决，应及时寻求精神卫生、心理健康专业人员的帮助。包头市心理危机干预援助热线1.市第六医院：2625521（8：30-17:30）13451322429、13224724161（24小时）2.包钢三医院：15034711139（24小时）3.国药北方医院：52318775231721（24小时）4.包头市心理健康服务协会：上午8：00－12:00下午14：00－18：00王永杰13191487916刘雪宁13754123352郝红英15947220170雎密太15547255798梁建宇13847200742张晓军13337192959赵慧坤180472818815.包头市陈欣心理学校：上午8：00－12:00下午14：00－18：00陈欣18686171849张培芳18686122885王水清15949426677（记者：张群群）,,,,"包头新闻,众志成城 抗击疫情",2,1,1,2020-01-31 18:43,360安全浏览器,https://wx3.sinaimg.cn/large/89a83cably1gbfxmypqfmj20mr0cttd2.jpg,,,,蓝V
4466855819116993,Is3dXCfKh,1967169413,公民觉醒,这个阶段想必各个微信群都有人看到过转发的，武汉回来人员或者是疑似病例的个人信息吧，这是个特殊时期，但是个人信息的泄露就没人管了吗？#怎样避免个人信息泄露##明年将制定个人信息保护法##个人信息泄露#,,,,"怎样避免个人信息泄露,明年将制定个人信息保护法,个人信息泄露",0,0,1,2020-01-31 18:01,坚果手机 Pro 2,,,,,普通用户
4466782062257569,Is1j09tip,3003665760,1018陕广新闻,#战疫情陕西在行动#【陕西省市场监管局从严打击借“疫”生财违法行为】1月31日，记者从陕西省市场监管局获悉，为进一步维护人民群众生命安全健康和市场秩序，该局日前下发了《关于及时查处和从严打击制售假冒伪劣口罩等个人防护用品、非法交易野生动物、哄抬物价等违法行为的通知》（简称《通知》），要求各地市场监管部门迅速行动，及时查处和从严打击借“疫”生财违法行为。《通知》强调，各级市场监管部门要坚决贯彻党中央决策部署，按照市场监管总局和省委、省政府疫情防控工作要求，把疫情防控工作作为当前最重要的工作来抓。各市级市场监管局要突出执法重点，对影响疫情防控的违法行为加强执法稽查，强化与公安、卫生等执法部门的执法协作，针对口罩等个人防护用品、消毒防护用品、百姓生活必需品等开展产品质量执法，对非法交易和经营食用野生动物、囤货居奇、哄抬物价、虚假宣传等违法行为加大打击力度，努力做到密切合作、无缝对接，确保对违法行为查处不缺位。对发现的违法行为，要迅速组织力量查处，尤其要对涉案产品依法采取措施，防止流入市场，依法履行生产、销售环节的执法职责。对涉及公安、卫生等其他部门的违法行为，依据有关规定主动向有关部门通报信息或及时移送，依法追究违法人员法律责任。《通知》要求，要加大执法力度，依据市场监管部门产品质量监管职责，加强对违反本部门行政法律、法规行为的警示和宣传。根据《产品质量法》《消费者权益保护法》《流通领域食品安全管理办法》等规定，对生产、销售假冒伪劣口罩等个人防护用品、消毒防护用品尤其是未达到标称使用标准的，按照最高处罚幅度予以处罚。要按照各地政府统一部署，根据市场监管相关法律法规规定，积极做好对非法交易和经营食用野生动物、囤积居奇、哄抬物价、虚假宣传等违法行为的执法工作。密切与公安部门协作，加强对犯罪行为的打击力度。要主动关注舆情信息，积极发现违法线索，发挥12315等举报平台和热线作用，对违法行为努力做到“早发现、早处置”。涉及跨区域的违法案件相关地方市场监管部门要积极协查协办，绝不允许推诿扯皮，贻误疫情防控行为出现。（通讯员辛轩）,,,,战疫情陕西在行动,0,0,0,2020-01-31 13:08,UC浏览器电脑版,https://wx3.sinaimg.cn/large/b3084d60ly1gbfny1gebij21e00lakjl.jpg,,,,普通用户
4466779978463922,Is1fDzvQS,5507406292,融汇栋蓝科技,【印尼规范个人数据的收集和使用】印尼雅加达共和国REPUBLIKA.CO.ID-通信和信息技术部（Kemenkominfo）估计，当适用《个人数据保护法》（UUPDP）时，会对公众产生一定的影响。该修正案涉及在家庭卡（KK）和身份证（KTP）上上传或分发信息。通信与信息部信息司司长塞缪尔·潘加拉潘（SemuelPangerapan）1月30日在雅加达通过“印度尼西亚的数据隐私政策”进行讨论时说：“有一种行为（社区）必须随着该法律的存在而改变。”根据Semuel的说法，同样，当要求提供KTP上的照片或数据时，数据所有者也必须知道数据的用途。另外，请求方必须提交要用于什么目的的数据。《个人数据保护法案》概述了规范数据所有者，收集数据和处理数据的各方。,,,,,0,0,0,2020-01-31 12:59,专业版微博,,,,,蓝V
4466704819834376,IrZipFgmY,5692816600,鹤岗网讯,发布了头条文章：《关于《个人信息保护法》，领导干部需要了解的内容》O关于《个人信息保护法》，领导干部需要了解的内容,http://t.cn/A6PoQnXJ,,,,4,0,5,2020-01-31 08:01,微博 weibo.com,,,,,蓝V
